date,home,away,home_sp,away_sp,bet_side,dk_home,dk_away,dk_home_ml,dk_away_ml,poly_home,poly_away,lgb_home,lgb_away,kalshi_home,kalshi_away,edge,won,pnl,result
2025-08-29,NYM,MIA,Jonah Tong,Eury Pérez,away,0.623,0.377,-188.0,153.0,0.62,0.38,0.495,0.505,0.62,0.38,0.125,0,-0.38,home_win
2025-08-29,CWS,NYY,Yoendrys Gómez,Carlos Rodón,home,0.354,0.646,165.0,-220.0,0.33,0.67,0.446,0.554,0.34,0.66,0.106,0,-0.34,away_win
2025-08-30,CLE,SEA,Gavin Williams,Logan Gilbert,home,0.434,0.566,116.0,-152.0,0.42,0.58,0.538,0.462,0.42,0.58,0.118,1,0.58,home_win
2025-08-30,CWS,NYY,Shane Smith,Cam Schlittler,home,0.378,0.622,148.0,-196.0,0.36,0.64,0.492,0.508,0.36,0.64,0.132,0,-0.36,away_win
2025-08-31,WSH,TB,Brad Lord,Ian Seymour,home,0.437,0.563,118.0,-144.0,0.44,0.56,0.558,0.442,0.44,0.56,0.118,0,-0.44,away_win
2025-09-01,HOU,LAA,Luis Garcia,Yusei Kikuchi,away,0.582,0.418,-163.0,125.0,0.59,0.41,0.48,0.52,0.59,0.41,0.11,0,-0.41,home_win
2025-09-02,PIT,LAD,Carmen Mlodzinski,Clayton Kershaw,home,0.432,0.568,117.0,-153.0,0.38,0.62,0.534,0.466,0.39,0.61,0.144,1,0.61,home_win
2025-09-03,PIT,LAD,Braxton Ashcraft,Emmet Sheehan,home,0.44,0.56,113.0,-148.0,0.51,0.49,0.519,0.481,0.41,0.59,0.109,1,0.59,home_win
2025-09-05,COL,SD,Kyle Freeland,Nick Pivetta,home,0.344,0.656,177.0,-220.0,0.33,0.67,0.451,0.549,0.33,0.67,0.121,1,0.67,home_win
2025-09-05,ATL,SEA,Chris Sale,Logan Gilbert,home,0.655,0.345,-230.0,172.0,0.52,0.48,0.662,0.338,0.54,0.46,0.122,1,0.46,home_win
2025-09-06,CIN,NYM,Brady Singer,Jonah Tong,home,0.437,0.563,115.0,-149.0,,,0.56,0.44,0.45,0.55,0.11,1,0.55,home_win
2025-09-07,COL,SD,Tanner Gordon,Dylan Cease,home,0.303,0.697,215.0,-271.0,0.31,0.69,0.425,0.575,0.31,0.69,0.115,0,-0.31,away_win
2025-09-07,MIA,PHI,Tyler Phillips,Taijuan Walker,home,0.428,0.572,123.0,-150.0,0.45,0.55,0.572,0.428,0.44,0.56,0.132,1,0.56,home_win
2025-09-08,LAD,COL,Tyler Glasnow,Chase Dollander,away,0.755,0.245,-378.0,289.0,0.61,0.39,0.668,0.332,0.77,0.23,0.102,0,-0.23,home_win
2025-09-08,SD,CIN,Yu Darvish,Nick Lodolo,away,0.559,0.441,-147.0,113.0,0.36,0.64,0.454,0.546,0.56,0.44,0.106,0,-0.44,home_win
2025-09-08,TEX,MIL,Jacob Latz,Jose Quintana,home,0.487,0.513,-108.0,-121.0,0.58,0.42,0.572,0.428,0.47,0.53,0.102,1,0.53,home_win
2025-09-11,PHI,NYM,Jesús Luzardo,David Peterson,home,0.518,0.482,-119.0,-102.0,0.53,0.47,0.63,0.37,0.53,0.47,0.1,1,0.47,home_win
2025-09-12,MIA,DET,Sandy Alcantara,Tarik Skubal,home,0.357,0.643,167.0,-206.0,0.34,0.66,0.466,0.534,0.35,0.65,0.116,1,0.65,home_win
2025-09-13,MIA,DET,Janson Junk,Charlie Morton,home,0.457,0.543,109.0,-132.0,,,0.573,0.427,0.46,0.54,0.113,1,0.54,home_win
2025-09-15,MIN,NYY,Simeon Woods Richardson,Carlos Rodón,home,0.37,0.63,158.0,-194.0,0.38,0.62,0.508,0.492,0.37,0.63,0.138,1,0.63,home_win
2025-09-16,HOU,TEX,AJ Blubaugh,Merrill Kelly,home,0.828,0.172,-740.0,445.0,0.49,0.51,0.613,0.387,0.48,0.52,0.133,1,0.52,home_win
2025-09-16,MIN,NYY,Zebby Matthews,Cam Schlittler,home,0.081,0.919,1060.0,-4600.0,0.4,0.6,0.507,0.493,0.4,0.6,0.107,0,-0.4,away_win
2025-09-17,WSH,ATL,Brad Lord,Hurston Waldrep,home,0.437,0.563,115.0,-150.0,,,0.547,0.453,0.44,0.56,0.107,0,-0.44,away_win
