game_pk,game_date,home_team,away_team,home_win,sim_home_wp,kalshi_home_prob,edge,sim_total_runs,sim_home_runs,sim_away_runs,kalshi_volume
778188,2025-04-24,AZ,TB,0,0.48,0.57,-0.08999999999999997,7.2059999999999995,3.372,3.834,52869.0
778192,2025-04-24,ATH,TEX,1,0.353,0.44,-0.08700000000000002,8.469000000000001,3.444,5.025,68625.0
778182,2025-04-25,CHC,PHI,1,0.619,0.62,-0.0010000000000000009,11.318000000000001,6.259,5.059,72096.0
778183,2025-04-25,WSH,NYM,1,0.47,0.38,0.08999999999999997,8.159,3.818,4.341,69532.0
778185,2025-04-25,NYY,TOR,0,0.424,0.58,-0.15599999999999997,10.505,4.69,5.815,52940.0
778187,2025-04-25,KC,HOU,1,0.448,0.48,-0.03199999999999997,9.280999999999999,4.137,5.144,19727.0
778186,2025-04-25,MIN,LAA,1,0.631,0.66,-0.029000000000000026,9.643,5.318,4.325,15126.0
778184,2025-04-25,STL,MIL,1,0.415,0.56,-0.14500000000000007,9.465,4.218,5.247,18945.0
778181,2025-04-25,COL,CIN,0,0.516,0.45,0.066,9.055,4.51,4.545,44330.0
778172,2025-04-25,SD,TB,0,0.548,0.58,-0.03199999999999992,8.335,4.343,3.992,27967.0
778177,2025-04-25,AZ,ATL,0,0.361,0.46,-0.09900000000000003,8.788,3.578,5.21,19433.0
778175,2025-04-25,SEA,MIA,0,0.548,0.74,-0.19199999999999995,9.628,4.928,4.7,21243.0
778178,2025-04-25,ATH,CWS,1,0.557,0.7,-0.1429999999999999,9.515,4.917,4.598,23967.0
778176,2025-04-25,LAD,PIT,0,0.494,0.67,-0.17600000000000005,7.94,3.835,4.105,31754.0
778171,2025-04-25,SF,TEX,0,0.371,0.53,-0.15900000000000003,9.899000000000001,4.13,5.769,23755.0
778179,2025-04-26,CLE,BOS,1,0.33,0.54,-0.21000000000000002,8.84,3.497,5.343,3780.0
778169,2025-04-26,CLE,BOS,0,0.467,0.54,-0.07300000000000001,9.71,4.606,5.104,3780.0
778168,2025-04-26,DET,BAL,1,0.198,0.93,-0.732,12.527999999999999,4.046,8.482,18079.0
778180,2025-04-26,DET,BAL,1,0.2,0.93,-0.73,10.878,3.31,7.568,18079.0
778166,2025-04-26,MIN,LAA,1,0.459,0.54,-0.08100000000000002,9.776,4.649,5.127,51936.0
778164,2025-04-26,STL,MIL,1,0.518,0.57,-0.051999999999999935,9.974,5.011,4.963,35576.0
778161,2025-04-26,COL,CIN,0,0.335,0.34,-0.0050000000000000044,8.679,3.323,5.356,32288.0
778173,2025-04-26,WSH,NYM,0,0.494,0.36,0.134,8.411999999999999,4.036,4.376,29882.0
778159,2025-04-26,SF,TEX,1,0.362,0.57,-0.20799999999999996,9.221,3.791,5.43,32442.0
