game_pk,game_date,season,home_team,away_team,home_win,lr_prob,xgb_prob,ens_prob,ens_calibrated,days_into_season,home_team_games_played,away_team_games_played,baseline_home,baseline_prior,kalshi_home_prob,kalshi_prob,model_prob,edge
777801,2025-05-23,2025,WSH,SF,0,0.5913135713013996,0.5840812,0.5888583717658316,0.6065116279069768,66,50,50,0.5297880589299561,0.49988131970881877,0.51,0.51,0.5888583717658316,0.07885837176583155
777806,2025-05-23,2025,PIT,MIL,1,0.5518165444603119,0.59633917,0.5669307451327529,0.5682267633487147,66,51,51,0.5297880589299561,0.4728374586570489,0.55,0.55,0.5669307451327529,0.016930745132752834
777815,2025-05-23,2025,BOS,BAL,1,0.5390122058526324,0.5359523,0.5379734623688337,0.5347472924187723,66,51,48,0.5297880589299561,0.4964975483333514,0.56,0.56,0.5379734623688337,-0.022026537631166354
777813,2025-05-23,2025,ATL,SD,0,0.5596301423303282,0.6441558,0.5883242692318834,0.6065116279069768,66,49,48,0.5297880589299561,0.5167941431709706,0.62,0.62,0.5883242692318834,-0.03167573076811658
777795,2025-05-24,2025,TB,TOR,1,0.5133095014013452,0.5470962,0.5247791501971136,0.5347472924187723,67,50,50,0.5297880589299561,0.5504663209380105,0.51,0.51,0.5247791501971136,0.014779150197113622
777782,2025-05-24,2025,COL,NYY,0,0.35768888958833256,0.37461296,0.3634341432341878,0.38627450980392153,67,51,50,0.5297880589299561,0.4193792196434934,0.24,0.24,0.3634341432341878,0.12343414323418783
777796,2025-05-24,2025,DET,CLE,0,0.5106802563895209,0.5138561,0.5117583719997563,0.5186500888099469,67,52,50,0.5297880589299561,0.508098481012912,0.59,0.59,0.5117583719997563,-0.0782416280002437
777792,2025-05-24,2025,CWS,TEX,1,0.43766960845788044,0.502124,0.4595500985270903,0.45040650406504057,67,51,52,0.5297880589299561,0.40625629330735985,0.4,0.4,0.4595500985270903,0.059550098527090256
777784,2025-05-24,2025,ATH,PHI,0,0.36478666482083144,0.3586366,0.36269888351311846,0.38627450980392153,67,52,51,0.5297880589299561,0.4829687678242209,0.4,0.4,0.36269888351311846,-0.03730111648688156
777781,2025-05-24,2025,LAA,MIA,0,0.6123164846823883,0.6501658,0.625165280842704,0.6221498371335505,67,50,49,0.5297880589299561,0.5336685796952796,0.67,0.67,0.625165280842704,-0.04483471915729609
777789,2025-05-24,2025,NYM,LAD,1,0.5384464664695939,0.5330581,0.5366172671833849,0.5347472924187723,67,51,51,0.5297880589299561,0.49988131970881877,0.52,0.52,0.5366172671833849,0.016617267183384854
777803,2025-05-24,2025,ATL,SD,1,0.535616132967448,0.56904215,0.5469633414746977,0.5347472924187723,67,50,49,0.5297880589299561,0.5167941431709706,0.58,0.58,0.5469633414746977,-0.03303665852530224
777809,2025-05-24,2025,BOS,BAL,1,0.50305530850919,0.5414786,0.5160989462614645,0.5186500888099469,67,53,50,0.5297880589299561,0.4964975483333514,0.57,0.57,0.5160989462614645,-0.05390105373853549
777791,2025-05-24,2025,CIN,CHC,1,0.46483542598532207,0.48982483,0.4733186391242235,0.459546925566343,67,52,51,0.5297880589299561,0.5100314594101275,0.49,0.49,0.4733186391242235,-0.016681360875776485
777794,2025-05-24,2025,PIT,MIL,1,0.5160015792150708,0.54940176,0.527340018352051,0.5347472924187723,67,52,52,0.5297880589299561,0.4728374586570489,0.48,0.48,0.527340018352051,0.04734001835205104
777793,2025-05-24,2025,WSH,SF,1,0.48425790917598716,0.43701974,0.46822185361855817,0.45040650406504057,67,51,51,0.5297880589299561,0.49988131970881877,0.41,0.41,0.46822185361855817,0.058221853618558195
777786,2025-05-24,2025,STL,AZ,1,0.4960820401433088,0.5351129,0.5093319452264203,0.5101580135440179,67,51,51,0.5297880589299561,0.5100314594101276,0.54,0.54,0.5093319452264203,-0.0306680547735797
777788,2025-05-24,2025,MIN,KC,1,0.5353422876778445,0.5735433,0.5483104799735923,0.5347472924187723,67,50,52,0.5297880589299561,0.5167941431709706,0.53,0.53,0.5483104799735923,0.018310479973592253
777790,2025-05-24,2025,BOS,BAL,0,0.511272770641245,0.50391877,0.5087762894616292,0.5101580135440179,67,52,49,0.5297880589299561,0.4964975483333514,0.57,0.57,0.5087762894616292,-0.061223710538370724
777787,2025-05-24,2025,HOU,SEA,1,0.47469272400322926,0.52870715,0.4930291289982809,0.5034106412005458,67,51,50,0.5297880589299561,0.5422359194388303,0.5,0.5,0.4930291289982809,-0.0069708710017191144
777773,2025-05-25,2025,NYM,LAD,1,0.5081552017046533,0.5893579,0.5357212797958179,0.5347472924187723,68,52,52,0.5297880589299561,0.49988131970881877,0.53,0.53,0.5357212797958179,0.005721279795817824
777767,2025-05-25,2025,LAA,MIA,0,0.5085951876144928,0.5240363,0.5138370149114577,0.5186500888099469,68,51,50,0.5297880589299561,0.5336685796952796,0.51,0.51,0.5138370149114577,0.0038370149114577146
777765,2025-05-25,2025,ATH,PHI,1,0.34070382640650676,0.33071804,0.3373139278157339,0.36904761904761907,68,53,52,0.5297880589299561,0.4829687678242209,0.37,0.37,0.3373139278157339,-0.03268607218426611
777768,2025-05-25,2025,COL,NYY,0,0.31996809005752685,0.35622773,0.33227723514159546,0.36904761904761907,68,52,51,0.5297880589299561,0.4193792196434934,0.28,0.28,0.33227723514159546,0.052277235141595435
777766,2025-05-25,2025,STL,AZ,1,0.5812828868669836,0.57500213,0.5791507446458933,0.5682267633487147,68,52,52,0.5297880589299561,0.5100314594101276,0.54,0.54,0.5791507446458933,0.0391507446458933
777777,2025-05-25,2025,CWS,TEX,0,0.5200290217209264,0.5622426,0.5343593751244166,0.5347472924187723,68,52,53,0.5297880589299561,0.40625629330735985,0.49,0.49,0.5343593751244166,0.04435937512441657
